"date","country","species","mentions"
2015-12-27,"MT","Acridotheres tristis",0
2015-12-27,"NL","Acridotheres tristis",0
2015-12-27,"PL","Acridotheres tristis",0
2015-12-27,"PT","Acridotheres tristis",0
2015-12-27,"RO","Acridotheres tristis",0
2015-12-27,"SE","Acridotheres tristis",0
2015-12-27,"SI","Acridotheres tristis",0
2015-12-27,"SK","Acridotheres tristis",0
2015-12-27,"AT","Ailanthus altissima",0
2015-12-27,"BE","Ailanthus altissima",0
2015-12-27,"BG","Ailanthus altissima",0
2015-12-27,"CY","Ailanthus altissima",0
2015-12-27,"CZ","Ailanthus altissima",0
2015-12-27,"DE","Ailanthus altissima",0
2015-12-27,"DK","Ailanthus altissima",0
2015-12-27,"EE","Ailanthus altissima",0
2015-12-27,"ES","Ailanthus altissima",0
2015-12-27,"FI","Ailanthus altissima",0
2015-12-27,"FR","Ailanthus altissima",10.11870706026
2015-12-27,"GB","Ailanthus altissima",0
2015-12-27,"GR","Ailanthus altissima",0
2015-12-27,"HR","Ailanthus altissima",0
2015-12-27,"HU","Ailanthus altissima",0
2015-12-27,"IE","Ailanthus altissima",0
2015-12-27,"IT","Ailanthus altissima",0
2015-12-27,"LT","Ailanthus altissima",0
2015-12-27,"LU","Ailanthus altissima",0
2015-12-27,"LV","Ailanthus altissima",0
2015-12-27,"MT","Ailanthus altissima",0
2015-12-27,"NL","Ailanthus altissima",0
2015-12-27,"PL","Ailanthus altissima",0
2015-12-27,"PT","Ailanthus altissima",0
2015-12-27,"RO","Ailanthus altissima",0
2015-12-27,"SE","Ailanthus altissima",0
2015-12-27,"SI","Ailanthus altissima",0
2015-12-27,"SK","Ailanthus altissima",0
2015-12-27,"AT","Alopochen aegyptiaca",0
2015-12-27,"BE","Alopochen aegyptiaca",0
2015-12-27,"BG","Alopochen aegyptiaca",0
2015-12-27,"CY","Alopochen aegyptiaca",0
2015-12-27,"CZ","Alopochen aegyptiaca",0
2015-12-27,"DE","Alopochen aegyptiaca",31.7928053145215
2015-12-27,"DK","Alopochen aegyptiaca",0
2015-12-27,"EE","Alopochen aegyptiaca",0
2015-12-27,"ES","Alopochen aegyptiaca",0
2015-12-27,"FI","Alopochen aegyptiaca",0
2015-12-27,"FR","Alopochen aegyptiaca",0
2015-12-27,"GB","Alopochen aegyptiaca",0
2015-12-27,"GR","Alopochen aegyptiaca",0
2015-12-27,"HR","Alopochen aegyptiaca",0
2015-12-27,"HU","Alopochen aegyptiaca",0
2015-12-27,"IE","Alopochen aegyptiaca",0
2015-12-27,"IT","Alopochen aegyptiaca",0
2015-12-27,"LT","Alopochen aegyptiaca",0
2015-12-27,"LU","Alopochen aegyptiaca",0
2015-12-27,"LV","Alopochen aegyptiaca",0
2015-12-27,"MT","Alopochen aegyptiaca",0
2015-12-27,"NL","Alopochen aegyptiaca",0
2015-12-27,"PL","Alopochen aegyptiaca",0
2015-12-27,"PT","Alopochen aegyptiaca",0
2015-12-27,"RO","Alopochen aegyptiaca",0
2015-12-27,"SE","Alopochen aegyptiaca",0
2015-12-27,"SI","Alopochen aegyptiaca",0
2015-12-27,"SK","Alopochen aegyptiaca",0
2015-12-27,"AT","Alternanthera philoxeroides",0
2015-12-27,"BE","Alternanthera philoxeroides",0
2015-12-27,"BG","Alternanthera philoxeroides",0
2015-12-27,"CY","Alternanthera philoxeroides",0
2015-12-27,"CZ","Alternanthera philoxeroides",0
2015-12-27,"DE","Alternanthera philoxeroides",0
2015-12-27,"DK","Alternanthera philoxeroides",0
2015-12-27,"EE","Alternanthera philoxeroides",0
2015-12-27,"ES","Alternanthera philoxeroides",0
2015-12-27,"FI","Alternanthera philoxeroides",0
2015-12-27,"FR","Alternanthera philoxeroides",0
2015-12-27,"GB","Alternanthera philoxeroides",0
2015-12-27,"GR","Alternanthera philoxeroides",0
2015-12-27,"HR","Alternanthera philoxeroides",0
2015-12-27,"HU","Alternanthera philoxeroides",0
2015-12-27,"IE","Alternanthera philoxeroides",0
2015-12-27,"IT","Alternanthera philoxeroides",0
2015-12-27,"LT","Alternanthera philoxeroides",0
2015-12-27,"LU","Alternanthera philoxeroides",0
2015-12-27,"LV","Alternanthera philoxeroides",0
2015-12-27,"MT","Alternanthera philoxeroides",0
2015-12-27,"NL","Alternanthera philoxeroides",0
2015-12-27,"PL","Alternanthera philoxeroides",0
2015-12-27,"PT","Alternanthera philoxeroides",0
2015-12-27,"RO","Alternanthera philoxeroides",0
2015-12-27,"SE","Alternanthera philoxeroides",0
2015-12-27,"SI","Alternanthera philoxeroides",0
2015-12-27,"SK","Alternanthera philoxeroides",0
2015-12-27,"AT","Ameiurus melas",0
2015-12-27,"BE","Ameiurus melas",0
2015-12-27,"BG","Ameiurus melas",0
2015-12-27,"CY","Ameiurus melas",0
2015-12-27,"CZ","Ameiurus melas",0
2015-12-27,"DE","Ameiurus melas",0
2015-12-27,"DK","Ameiurus melas",108.384469916899
2015-12-27,"EE","Ameiurus melas",0
2015-12-27,"ES","Ameiurus melas",0
2015-12-27,"FI","Ameiurus melas",0
2015-12-27,"FR","Ameiurus melas",0
2015-12-27,"GB","Ameiurus melas",0
2015-12-27,"GR","Ameiurus melas",0
2015-12-27,"HR","Ameiurus melas",0
2015-12-27,"HU","Ameiurus melas",0
2015-12-27,"IE","Ameiurus melas",0
2015-12-27,"IT","Ameiurus melas",58.5310334383897
2015-12-27,"LT","Ameiurus melas",0
2015-12-27,"LU","Ameiurus melas",0
2015-12-27,"LV","Ameiurus melas",0
2015-12-27,"MT","Ameiurus melas",0
2015-12-27,"NL","Ameiurus melas",0
2015-12-27,"PL","Ameiurus melas",0
2015-12-27,"PT","Ameiurus melas",0
2015-12-27,"RO","Ameiurus melas",0
2015-12-27,"SE","Ameiurus melas",0
2015-12-27,"SI","Ameiurus melas",0
2015-12-27,"SK","Ameiurus melas",0
2015-12-27,"AT","Andropogon virginicus",0
2015-12-27,"BE","Andropogon virginicus",0
2015-12-27,"BG","Andropogon virginicus",0
2015-12-27,"CY","Andropogon virginicus",0
2015-12-27,"CZ","Andropogon virginicus",0
2015-12-27,"DE","Andropogon virginicus",0
2015-12-27,"DK","Andropogon virginicus",0
2015-12-27,"EE","Andropogon virginicus",0
2015-12-27,"ES","Andropogon virginicus",0
2015-12-27,"FI","Andropogon virginicus",0
2015-12-27,"FR","Andropogon virginicus",0
2015-12-27,"GB","Andropogon virginicus",0
2015-12-27,"GR","Andropogon virginicus",0
2015-12-27,"HR","Andropogon virginicus",0
2015-12-27,"HU","Andropogon virginicus",0
2015-12-27,"IE","Andropogon virginicus",0
2015-12-27,"IT","Andropogon virginicus",0
2015-12-27,"LT","Andropogon virginicus",0
2015-12-27,"LU","Andropogon virginicus",0
2015-12-27,"LV","Andropogon virginicus",0
2015-12-27,"MT","Andropogon virginicus",0
2015-12-27,"NL","Andropogon virginicus",0
2015-12-27,"PL","Andropogon virginicus",0
2015-12-27,"PT","Andropogon virginicus",0
2015-12-27,"RO","Andropogon virginicus",0
2015-12-27,"SE","Andropogon virginicus",0
2015-12-27,"SI","Andropogon virginicus",0
2015-12-27,"SK","Andropogon virginicus",0
2015-12-27,"AT","Arthurdendyus triangulatus",0
2015-12-27,"BE","Arthurdendyus triangulatus",0
2015-12-27,"BG","Arthurdendyus triangulatus",0
2015-12-27,"CY","Arthurdendyus triangulatus",0
2015-12-27,"CZ","Arthurdendyus triangulatus",0
2015-12-27,"DE","Arthurdendyus triangulatus",0
2015-12-27,"DK","Arthurdendyus triangulatus",0
2015-12-27,"EE","Arthurdendyus triangulatus",0
2015-12-27,"ES","Arthurdendyus triangulatus",0
2015-12-27,"FI","Arthurdendyus triangulatus",0
2015-12-27,"FR","Arthurdendyus triangulatus",0
2015-12-27,"GB","Arthurdendyus triangulatus",0
2015-12-27,"GR","Arthurdendyus triangulatus",0
2015-12-27,"HR","Arthurdendyus triangulatus",0
2015-12-27,"HU","Arthurdendyus triangulatus",0
2015-12-27,"IE","Arthurdendyus triangulatus",0
2015-12-27,"IT","Arthurdendyus triangulatus",0
2015-12-27,"LT","Arthurdendyus triangulatus",0
2015-12-27,"LU","Arthurdendyus triangulatus",0
2015-12-27,"LV","Arthurdendyus triangulatus",0
2015-12-27,"MT","Arthurdendyus triangulatus",0
2015-12-27,"NL","Arthurdendyus triangulatus",0
2015-12-27,"PL","Arthurdendyus triangulatus",0
2015-12-27,"PT","Arthurdendyus triangulatus",0
2015-12-27,"RO","Arthurdendyus triangulatus",0
2015-12-27,"SE","Arthurdendyus triangulatus",0
2015-12-27,"SI","Arthurdendyus triangulatus",0
2015-12-27,"SK","Arthurdendyus triangulatus",0
2015-12-27,"AT","Asclepias syriaca",0
2015-12-27,"BE","Asclepias syriaca",0
2015-12-27,"BG","Asclepias syriaca",0
2015-12-27,"CY","Asclepias syriaca",0
2015-12-27,"CZ","Asclepias syriaca",0
2015-12-27,"DE","Asclepias syriaca",0
2015-12-27,"DK","Asclepias syriaca",0
2015-12-27,"EE","Asclepias syriaca",0
2015-12-27,"ES","Asclepias syriaca",0
2015-12-27,"FI","Asclepias syriaca",0
2015-12-27,"FR","Asclepias syriaca",0
2015-12-27,"GB","Asclepias syriaca",0
2015-12-27,"GR","Asclepias syriaca",0
2015-12-27,"HR","Asclepias syriaca",0
2015-12-27,"HU","Asclepias syriaca",0
2015-12-27,"IE","Asclepias syriaca",0
2015-12-27,"IT","Asclepias syriaca",0
2015-12-27,"LT","Asclepias syriaca",0
2015-12-27,"LU","Asclepias syriaca",0
2015-12-27,"LV","Asclepias syriaca",0
2015-12-27,"MT","Asclepias syriaca",0
2015-12-27,"NL","Asclepias syriaca",0
2015-12-27,"PL","Asclepias syriaca",0
2015-12-27,"PT","Asclepias syriaca",0
2015-12-27,"RO","Asclepias syriaca",0
2015-12-27,"SE","Asclepias syriaca",0
2015-12-27,"SI","Asclepias syriaca",0
2015-12-27,"SK","Asclepias syriaca",0
2015-12-27,"AT","Axis axis",0
2015-12-27,"BE","Axis axis",0
2015-12-27,"BG","Axis axis",0
2015-12-27,"CY","Axis axis",0
2015-12-27,"CZ","Axis axis",0
2015-12-27,"DE","Axis axis",0
2015-12-27,"DK","Axis axis",0
2015-12-27,"EE","Axis axis",0
2015-12-27,"ES","Axis axis",0
2015-12-27,"FI","Axis axis",0
2015-12-27,"FR","Axis axis",0
2015-12-27,"GB","Axis axis",0
2015-12-27,"GR","Axis axis",0
2015-12-27,"HR","Axis axis",0
2015-12-27,"HU","Axis axis",0
2015-12-27,"IE","Axis axis",0
2015-12-27,"IT","Axis axis",0
2015-12-27,"LT","Axis axis",0
2015-12-27,"LU","Axis axis",0
2015-12-27,"LV","Axis axis",0
2015-12-27,"MT","Axis axis",0
2015-12-27,"NL","Axis axis",0
2015-12-27,"PL","Axis axis",0
2015-12-27,"PT","Axis axis",0
2015-12-27,"RO","Axis axis",0
2015-12-27,"SE","Axis axis",0
2015-12-27,"SI","Axis axis",0
2015-12-27,"SK","Axis axis",0
2015-12-27,"AT","Baccharis halimifolia",0
2015-12-27,"BE","Baccharis halimifolia",0
2015-12-27,"BG","Baccharis halimifolia",0
2015-12-27,"CY","Baccharis halimifolia",0
2015-12-27,"CZ","Baccharis halimifolia",0
2015-12-27,"DE","Baccharis halimifolia",0
2015-12-27,"DK","Baccharis halimifolia",0
2015-12-27,"EE","Baccharis halimifolia",0
2015-12-27,"ES","Baccharis halimifolia",0
2015-12-27,"FI","Baccharis halimifolia",0
2015-12-27,"FR","Baccharis halimifolia",0
2015-12-27,"GB","Baccharis halimifolia",0
2015-12-27,"GR","Baccharis halimifolia",0
2015-12-27,"HR","Baccharis halimifolia",0
2015-12-27,"HU","Baccharis halimifolia",0
2015-12-27,"IE","Baccharis halimifolia",0
2015-12-27,"IT","Baccharis halimifolia",0
2015-12-27,"LT","Baccharis halimifolia",0
2015-12-27,"LU","Baccharis halimifolia",0
2015-12-27,"LV","Baccharis halimifolia",0
2015-12-27,"MT","Baccharis halimifolia",0
2015-12-27,"NL","Baccharis halimifolia",0
2015-12-27,"PL","Baccharis halimifolia",0
2015-12-27,"PT","Baccharis halimifolia",0
2015-12-27,"RO","Baccharis halimifolia",0
2015-12-27,"SE","Baccharis halimifolia",0
2015-12-27,"SI","Baccharis halimifolia",0
2015-12-27,"SK","Baccharis halimifolia",0
2015-12-27,"AT","Cabomba caroliniana",0
2015-12-27,"BE","Cabomba caroliniana",0
2015-12-27,"BG","Cabomba caroliniana",0
2015-12-27,"CY","Cabomba caroliniana",0
2015-12-27,"CZ","Cabomba caroliniana",0
2015-12-27,"DE","Cabomba caroliniana",0
2015-12-27,"DK","Cabomba caroliniana",0
2015-12-27,"EE","Cabomba caroliniana",0
2015-12-27,"ES","Cabomba caroliniana",0
2015-12-27,"FI","Cabomba caroliniana",0
2015-12-27,"FR","Cabomba caroliniana",0
2015-12-27,"GB","Cabomba caroliniana",0
2015-12-27,"GR","Cabomba caroliniana",0
2015-12-27,"HR","Cabomba caroliniana",0
2015-12-27,"HU","Cabomba caroliniana",0
2015-12-27,"IE","Cabomba caroliniana",0
2015-12-27,"IT","Cabomba caroliniana",0
2015-12-27,"LT","Cabomba caroliniana",0
2015-12-27,"LU","Cabomba caroliniana",0
2015-12-27,"LV","Cabomba caroliniana",0
2015-12-27,"MT","Cabomba caroliniana",0
2015-12-27,"NL","Cabomba caroliniana",0
2015-12-27,"PL","Cabomba caroliniana",0
2015-12-27,"PT","Cabomba caroliniana",0
2015-12-27,"RO","Cabomba caroliniana",0
2015-12-27,"SE","Cabomba caroliniana",0
2015-12-27,"SI","Cabomba caroliniana",0
2015-12-27,"SK","Cabomba caroliniana",0
2015-12-27,"AT","Callosciurus erythraeus",0
2015-12-27,"BE","Callosciurus erythraeus",0
2015-12-27,"BG","Callosciurus erythraeus",0
2015-12-27,"CY","Callosciurus erythraeus",0
2015-12-27,"CZ","Callosciurus erythraeus",0
2015-12-27,"DE","Callosciurus erythraeus",0
2015-12-27,"DK","Callosciurus erythraeus",0
2015-12-27,"EE","Callosciurus erythraeus",0
2015-12-27,"ES","Callosciurus erythraeus",0
2015-12-27,"FI","Callosciurus erythraeus",0
2015-12-27,"FR","Callosciurus erythraeus",0
2015-12-27,"GB","Callosciurus erythraeus",0
2015-12-27,"GR","Callosciurus erythraeus",0
2015-12-27,"HR","Callosciurus erythraeus",0
2015-12-27,"HU","Callosciurus erythraeus",0
2015-12-27,"IE","Callosciurus erythraeus",0
2015-12-27,"IT","Callosciurus erythraeus",0
2015-12-27,"LT","Callosciurus erythraeus",0
2015-12-27,"LU","Callosciurus erythraeus",0
2015-12-27,"LV","Callosciurus erythraeus",0
2015-12-27,"MT","Callosciurus erythraeus",0
2015-12-27,"NL","Callosciurus erythraeus",0
2015-12-27,"PL","Callosciurus erythraeus",0
2015-12-27,"PT","Callosciurus erythraeus",0
2015-12-27,"RO","Callosciurus erythraeus",0
2015-12-27,"SE","Callosciurus erythraeus",0
2015-12-27,"SI","Callosciurus erythraeus",0
2015-12-27,"SK","Callosciurus erythraeus",0
2015-12-27,"AT","Callosciurus finlaysonii",0
2015-12-27,"BE","Callosciurus finlaysonii",0
2015-12-27,"BG","Callosciurus finlaysonii",0
2015-12-27,"CY","Callosciurus finlaysonii",0
2015-12-27,"CZ","Callosciurus finlaysonii",0
2015-12-27,"DE","Callosciurus finlaysonii",0
2015-12-27,"DK","Callosciurus finlaysonii",0
2015-12-27,"EE","Callosciurus finlaysonii",0
2015-12-27,"ES","Callosciurus finlaysonii",0
2015-12-27,"FI","Callosciurus finlaysonii",0
2015-12-27,"FR","Callosciurus finlaysonii",0
2015-12-27,"GB","Callosciurus finlaysonii",0
2015-12-27,"GR","Callosciurus finlaysonii",0
2015-12-27,"HR","Callosciurus finlaysonii",0
2015-12-27,"HU","Callosciurus finlaysonii",0
2015-12-27,"IE","Callosciurus finlaysonii",0
2015-12-27,"IT","Callosciurus finlaysonii",0
2015-12-27,"LT","Callosciurus finlaysonii",0
2015-12-27,"LU","Callosciurus finlaysonii",0
2015-12-27,"LV","Callosciurus finlaysonii",0
2015-12-27,"MT","Callosciurus finlaysonii",0
2015-12-27,"NL","Callosciurus finlaysonii",0
2015-12-27,"PL","Callosciurus finlaysonii",0
2015-12-27,"PT","Callosciurus finlaysonii",0
2015-12-27,"RO","Callosciurus finlaysonii",0
2015-12-27,"SE","Callosciurus finlaysonii",0
2015-12-27,"SI","Callosciurus finlaysonii",0
2015-12-27,"SK","Callosciurus finlaysonii",0
2015-12-27,"AT","Cardiospermum grandiflorum",0
2015-12-27,"BE","Cardiospermum grandiflorum",0
2015-12-27,"BG","Cardiospermum grandiflorum",0
2015-12-27,"CY","Cardiospermum grandiflorum",0
2015-12-27,"CZ","Cardiospermum grandiflorum",0
2015-12-27,"DE","Cardiospermum grandiflorum",0
2015-12-27,"DK","Cardiospermum grandiflorum",0
2015-12-27,"EE","Cardiospermum grandiflorum",0
2015-12-27,"ES","Cardiospermum grandiflorum",0
2015-12-27,"FI","Cardiospermum grandiflorum",0
2015-12-27,"FR","Cardiospermum grandiflorum",0
2015-12-27,"GB","Cardiospermum grandiflorum",0
2015-12-27,"GR","Cardiospermum grandiflorum",0
2015-12-27,"HR","Cardiospermum grandiflorum",0
2015-12-27,"HU","Cardiospermum grandiflorum",0
2015-12-27,"IE","Cardiospermum grandiflorum",0
2015-12-27,"IT","Cardiospermum grandiflorum",0
2015-12-27,"LT","Cardiospermum grandiflorum",0
2015-12-27,"LU","Cardiospermum grandiflorum",0
2015-12-27,"LV","Cardiospermum grandiflorum",0
2015-12-27,"MT","Cardiospermum grandiflorum",0
2015-12-27,"NL","Cardiospermum grandiflorum",0
2015-12-27,"PL","Cardiospermum grandiflorum",0
2015-12-27,"PT","Cardiospermum grandiflorum",0
2015-12-27,"RO","Cardiospermum grandiflorum",0
2015-12-27,"SE","Cardiospermum grandiflorum",0
2015-12-27,"SI","Cardiospermum grandiflorum",0
2015-12-27,"SK","Cardiospermum grandiflorum",0
2015-12-27,"AT","Celastrus orbiculatus",0
2015-12-27,"BE","Celastrus orbiculatus",0
2015-12-27,"BG","Celastrus orbiculatus",0
2015-12-27,"CY","Celastrus orbiculatus",0
2015-12-27,"CZ","Celastrus orbiculatus",0
2015-12-27,"DE","Celastrus orbiculatus",0
2015-12-27,"DK","Celastrus orbiculatus",0
2015-12-27,"EE","Celastrus orbiculatus",0
2015-12-27,"ES","Celastrus orbiculatus",0
2015-12-27,"FI","Celastrus orbiculatus",0
2015-12-27,"FR","Celastrus orbiculatus",0
2015-12-27,"GB","Celastrus orbiculatus",0
2015-12-27,"GR","Celastrus orbiculatus",0
2015-12-27,"HR","Celastrus orbiculatus",0
2015-12-27,"HU","Celastrus orbiculatus",0
2015-12-27,"IE","Celastrus orbiculatus",0
2015-12-27,"IT","Celastrus orbiculatus",0
2015-12-27,"LT","Celastrus orbiculatus",0
2015-12-27,"LU","Celastrus orbiculatus",0
2015-12-27,"LV","Celastrus orbiculatus",0
2015-12-27,"MT","Celastrus orbiculatus",0
2015-12-27,"NL","Celastrus orbiculatus",0
2015-12-27,"PL","Celastrus orbiculatus",0
2015-12-27,"PT","Celastrus orbiculatus",0
2015-12-27,"RO","Celastrus orbiculatus",0
2015-12-27,"SE","Celastrus orbiculatus",0
2015-12-27,"SI","Celastrus orbiculatus",0
2015-12-27,"SK","Celastrus orbiculatus",0
2015-12-27,"AT","Channa argus",0
2015-12-27,"BE","Channa argus",0
2015-12-27,"BG","Channa argus",0
2015-12-27,"CY","Channa argus",0
2015-12-27,"CZ","Channa argus",0
2015-12-27,"DE","Channa argus",0
2015-12-27,"DK","Channa argus",0
2015-12-27,"EE","Channa argus",0
2015-12-27,"ES","Channa argus",0
2015-12-27,"FI","Channa argus",0
2015-12-27,"FR","Channa argus",0
2015-12-27,"GB","Channa argus",0
2015-12-27,"GR","Channa argus",0
2015-12-27,"HR","Channa argus",0
2015-12-27,"HU","Channa argus",0
2015-12-27,"IE","Channa argus",0
2015-12-27,"IT","Channa argus",0
2015-12-27,"LT","Channa argus",0
2015-12-27,"LU","Channa argus",0
2015-12-27,"LV","Channa argus",0
2015-12-27,"MT","Channa argus",0
2015-12-27,"NL","Channa argus",0
2015-12-27,"PL","Channa argus",0
2015-12-27,"PT","Channa argus",0
2015-12-27,"RO","Channa argus",0
2015-12-27,"SE","Channa argus",0
2015-12-27,"SI","Channa argus",0
2015-12-27,"SK","Channa argus",0
2015-12-27,"AT","Cortaderia jubata",0
2015-12-27,"BE","Cortaderia jubata",0
2015-12-27,"BG","Cortaderia jubata",0
2015-12-27,"CY","Cortaderia jubata",0
2015-12-27,"CZ","Cortaderia jubata",0
2015-12-27,"DE","Cortaderia jubata",0
2015-12-27,"DK","Cortaderia jubata",0
2015-12-27,"EE","Cortaderia jubata",0
2015-12-27,"ES","Cortaderia jubata",0
2015-12-27,"FI","Cortaderia jubata",0
2015-12-27,"FR","Cortaderia jubata",0
2015-12-27,"GB","Cortaderia jubata",0
2015-12-27,"GR","Cortaderia jubata",0
2015-12-27,"HR","Cortaderia jubata",0
2015-12-27,"HU","Cortaderia jubata",0
2015-12-27,"IE","Cortaderia jubata",0
2015-12-27,"IT","Cortaderia jubata",0
2015-12-27,"LT","Cortaderia jubata",0
2015-12-27,"LU","Cortaderia jubata",0
2015-12-27,"LV","Cortaderia jubata",0
2015-12-27,"MT","Cortaderia jubata",0
2015-12-27,"NL","Cortaderia jubata",0
2015-12-27,"PL","Cortaderia jubata",0
2015-12-27,"PT","Cortaderia jubata",0
2015-12-27,"RO","Cortaderia jubata",0
2015-12-27,"SE","Cortaderia jubata",0
2015-12-27,"SI","Cortaderia jubata",0
2015-12-27,"SK","Cortaderia jubata",0
2015-12-27,"AT","Corvus splendens",0
2015-12-27,"BE","Corvus splendens",0
2015-12-27,"BG","Corvus splendens",0
2015-12-27,"CY","Corvus splendens",0
2015-12-27,"CZ","Corvus splendens",0
2015-12-27,"DE","Corvus splendens",0
2015-12-27,"DK","Corvus splendens",0
2015-12-27,"EE","Corvus splendens",0
2015-12-27,"ES","Corvus splendens",0
2015-12-27,"FI","Corvus splendens",0
2015-12-27,"FR","Corvus splendens",0
2015-12-27,"GB","Corvus splendens",0
2015-12-27,"GR","Corvus splendens",0
2015-12-27,"HR","Corvus splendens",0
2015-12-27,"HU","Corvus splendens",0
2015-12-27,"IE","Corvus splendens",0
2015-12-27,"IT","Corvus splendens",0
2015-12-27,"LT","Corvus splendens",0
2015-12-27,"LU","Corvus splendens",0
2015-12-27,"LV","Corvus splendens",0
2015-12-27,"MT","Corvus splendens",0
2015-12-27,"NL","Corvus splendens",0
2015-12-27,"PL","Corvus splendens",0
2015-12-27,"PT","Corvus splendens",0
2015-12-27,"RO","Corvus splendens",0
2015-12-27,"SE","Corvus splendens",0
2015-12-27,"SI","Corvus splendens",0
2015-12-27,"SK","Corvus splendens",0
2015-12-27,"AT","Ehrharta calycina",0
2015-12-27,"BE","Ehrharta calycina",0
2015-12-27,"BG","Ehrharta calycina",0
2015-12-27,"CY","Ehrharta calycina",0
2015-12-27,"CZ","Ehrharta calycina",0
2015-12-27,"DE","Ehrharta calycina",0
2015-12-27,"DK","Ehrharta calycina",0
2015-12-27,"EE","Ehrharta calycina",0
2015-12-27,"ES","Ehrharta calycina",0
2015-12-27,"FI","Ehrharta calycina",0
2015-12-27,"FR","Ehrharta calycina",0
2015-12-27,"GB","Ehrharta calycina",0
2015-12-27,"GR","Ehrharta calycina",0
2015-12-27,"HR","Ehrharta calycina",0
2015-12-27,"HU","Ehrharta calycina",0
2015-12-27,"IE","Ehrharta calycina",0
2015-12-27,"IT","Ehrharta calycina",0
2015-12-27,"LT","Ehrharta calycina",0
2015-12-27,"LU","Ehrharta calycina",0
2015-12-27,"LV","Ehrharta calycina",0
2015-12-27,"MT","Ehrharta calycina",0
2015-12-27,"NL","Ehrharta calycina",0
2015-12-27,"PL","Ehrharta calycina",0
2015-12-27,"PT","Ehrharta calycina",0
2015-12-27,"RO","Ehrharta calycina",0
2015-12-27,"SE","Ehrharta calycina",0
2015-12-27,"SI","Ehrharta calycina",0
2015-12-27,"SK","Ehrharta calycina",0
2015-12-27,"AT","Elodea nuttallii",0
2015-12-27,"BE","Elodea nuttallii",0
2015-12-27,"BG","Elodea nuttallii",0
2015-12-27,"CY","Elodea nuttallii",0
2015-12-27,"CZ","Elodea nuttallii",0
2015-12-27,"DE","Elodea nuttallii",0
2015-12-27,"DK","Elodea nuttallii",0
2015-12-27,"EE","Elodea nuttallii",0
2015-12-27,"ES","Elodea nuttallii",0
2015-12-27,"FI","Elodea nuttallii",0
2015-12-27,"FR","Elodea nuttallii",0
2015-12-27,"GB","Elodea nuttallii",0
2015-12-27,"GR","Elodea nuttallii",0
2015-12-27,"HR","Elodea nuttallii",0
2015-12-27,"HU","Elodea nuttallii",0
2015-12-27,"IE","Elodea nuttallii",0
2015-12-27,"IT","Elodea nuttallii",0
2015-12-27,"LT","Elodea nuttallii",0
2015-12-27,"LU","Elodea nuttallii",0
2015-12-27,"LV","Elodea nuttallii",0
2015-12-27,"MT","Elodea nuttallii",0
2015-12-27,"NL","Elodea nuttallii",0
2015-12-27,"PL","Elodea nuttallii",0
2015-12-27,"PT","Elodea nuttallii",0
2015-12-27,"RO","Elodea nuttallii",0
2015-12-27,"SE","Elodea nuttallii",0
2015-12-27,"SI","Elodea nuttallii",0
2015-12-27,"SK","Elodea nuttallii",0
2015-12-27,"AT","Eriocheir sinensis",0
2015-12-27,"BE","Eriocheir sinensis",0
2015-12-27,"BG","Eriocheir sinensis",0
2015-12-27,"CY","Eriocheir sinensis",0
2015-12-27,"CZ","Eriocheir sinensis",0
